aiohappyeyeballs   2.6.2           2.7.1           Happy Eyeballs for asyncio
aiohttp            3.14.1          3.14.3          Async http client/server ...
annotated-types    0.7.0           0.8.0           Reusable constraint types...
anyio              4.14.1          4.14.2          High-level concurrency an...
ast-serialize      0.5.0           0.8.0           Python bindings for mypy ...
backports-zstd     1.6.0           1.7.0           Backport of compression.zstd
bitarray           3.8.2           3.10.1          efficient arrays of boole...
build              1.5.0           1.6.0           A simple, correct Python ...
cbor2              5.9.0           6.1.4           CBOR (de)serializer with ...
certifi            2026.6.17       2026.7.22       Python package for provid...
cffi               2.0.0           2.1.1           Foreign Function Interfac...
charset-normalizer 3.4.7           3.5.1           The Real First Universal ...
ckzg               2.1.7           2.1.8           Python bindings for C-KZG...
click              8.4.2           8.5.0           Composable command line i...
coverage           7.14.3          7.16.0          Code coverage measurement...
cryptography       49.0.0          50.0.1          cryptography is a package...
crytic-compile     0.3.8           0.4.2           Util to facilitate smart ...
dulwich            1.2.6           1.2.14          Python Git Library
eth-abi            5.2.0           6.0.0           eth_abi: Python utilities...
eth-account        0.13.7          0.14.0          eth-account: Sign Ethereu...
eth-keyfile        0.8.1           0.10.0          eth-keyfile: A library fo...
eth-keys           0.7.0           0.8.0           eth-keys: Common API for ...
eth-rlp            2.2.0           3.0.0           eth-rlp: RLP definitions ...
ethutils           0.1.2 16a2e90   0.1.3 b2c349a   Utilities for the Analysi...
faker              40.23.0         40.37.0         Faker is a Python package...
fastjsonschema     2.21.2          2.22.2          Fastest Python implementa...
filelock           3.29.4          3.32.4          A platform independent fi...
hexbytes           1.3.1           2.0.0           hexbytes: Python `bytes` ...
hypothesis         6.155.7         6.167.1         The property-based testin...
idna               3.18            3.19            Internationalized Domain ...
jaraco-functools   4.5.0           4.6.0           Functools like those foun...
librt              0.11.0          0.15.0          Mypyc runtime library
msgpack            1.2.1           1.2.2           MessagePack serializer
mypy               2.1.0           2.3.1           Optional static typing fo...
packaging          26.2            26.3            Core utilities for Python...
parsimonious       0.10.0          0.11.0          (Soon to be) the fastest ...
pbs-installer      2026.6.10       2026.8.25       Installer for Python Buil...
pkginfo            1.12.1.2        1.13            Query metadata from sdist...
platformdirs       4.10.0          4.11.5          A small Python package fo...
poetry             2.4.1           2.4.2           Python dependency managem...
poetry-core        2.4.0           2.4.1           Poetry PEP 517 Build Backend
pre-commit         4.6.0           4.6.2           A framework for managing ...
pydantic           2.13.4          2.13.5          Data validation using Pyt...
pydantic-core      2.46.4          2.48.0          Core functionality for Py...
pygments           2.20.0          2.21.0          Pygments is a syntax high...
pytest-benchmark   5.2.3           5.3.0           A ``pytest`` fixture for ...
python-discovery   1.4.2           1.6.0           Python interpreter discovery
rapidfuzz          3.14.5          3.14.6          rapid fuzzy string matching
regex              2026.6.28       2026.8.31       Alternative regular expre...
rlp                4.1.0           5.0.0           rlp: A package for Recurs...
ruff               0.15.20         0.16.5          An extremely fast Python ...
tomlkit            0.15.0          0.15.1          Style preserving TOML lib...
types-requests     2.33.0.20260518 2.33.0.20260712 Typing stubs for requests
typing-extensions  4.15.0          4.16.0          Backported and Experiment...
typing-inspection  0.4.2           0.4.4           Runtime typing introspect...
virtualenv         21.5.1          21.7.7          Virtual Python Environmen...
websockets         15.0.1          17.1            An implementation of the ...
yarl               1.24.2          1.24.5          Yet another URL library
z3-solver          4.14.1.0        5.1.0.0         an efficient SMT solver l...
