aiohappyeyeballs   2.6.1           2.6.2           Happy Eyeballs for asyncio
aiohttp            3.13.5          3.14.1          Async http client/server ...
anyio              4.12.1          4.13.0          High-level concurrency an...
black              25.11.0         26.5.1          The uncompromising code f...
build              1.4.4           1.5.0           A simple, correct Python ...
cachecontrol       0.14.3          0.14.4          httplib2 caching for requ...
cbor2              5.9.0           6.1.2           CBOR (de)serializer with ...
cfgv               3.4.0           3.5.0           Validate configuration an...
click              8.1.8           8.4.1           Composable command line i...
coverage           7.10.7          7.14.1          Code coverage measurement...
crytic-compile     0.3.8           0.4.1           Util to facilitate smart ...
dulwich            0.24.10         1.2.6           Python Git Library
eth-hash           0.7.1           0.8.0           eth-hash: The Ethereum ha...
eth-keyfile        0.8.1           0.9.1           eth-keyfile: A library fo...
eth-typing         5.2.1           6.0.0           eth-typing: Common type a...
eth-utils          5.3.1           6.0.0           eth-utils: Common utility...
faker              37.12.0         40.23.0         Faker is a Python package...
filelock           3.19.1          3.29.4          A platform independent fi...
findpython         0.7.1           0.8.0           A utility to find python ...
hypothesis         6.141.1         6.155.2         A library for property-ba...
identify           2.6.15          2.6.19          File identification libra...
importlib-metadata 8.7.1           9.0.0           Read metadata from Python...
iniconfig          2.1.0           2.3.0           brain-dead simple config-...
installer          0.7.0           1.0.1           A library for installing ...
jaraco-context     6.1.1           6.1.2           Useful decorators and con...
jaraco-functools   4.4.0           4.5.0           Functools like those foun...
markdown-it-py     3.0.0           4.2.0           Python port of markdown-i...
more-itertools     10.8.0          11.1.0          More routines for operati...
msgpack            1.1.2           1.2.0           MessagePack serializer
mypy               1.19.1          2.1.0           Optional static typing fo...
parsimonious       0.10.0          0.11.0          (Soon to be) the fastest ...
pbs-installer      2025.12.17      2026.6.10       Installer for Python Buil...
platformdirs       4.4.0           4.10.0          A small Python package fo...
poetry             2.2.1           2.4.1           Python dependency managem...
poetry-core        2.2.1           2.4.1           Poetry PEP 517 Build Backend
pre-commit         4.3.0           4.6.0           A framework for managing ...
propcache          0.4.1           0.5.2           Accelerated property cache
pycparser          2.23            3.0             C parser in Python
pydantic-core      2.46.4          2.47.0          Core functionality for Py...
pytest             8.4.2           9.1.0           pytest: simple powerful t...
rapidfuzz          3.13.0          3.14.5          rapid fuzzy string matching
regex              2026.1.15       2026.5.9        Alternative regular expre...
requests           2.32.5          2.34.2          Python HTTP for Humans.
secretstorage      3.3.3           3.5.0           Python bindings to FreeDe...
termcolor          3.1.0           3.3.0           ANSI color formatting for...
types-requests     2.32.4.20260107 2.33.0.20260518 Typing stubs for requests
urllib3            2.6.3           2.7.0           HTTP library with thread-...
websockets         15.0.1          16.0            An implementation of the ...
yarl               1.22.0          1.24.2          Yet another URL library
z3-solver          4.14.1.0        4.16.0.0        an efficient SMT solver l...
zipp               3.23.1          4.1.0           Backport of pathlib-compa...
